dataset,operator,model,dim,fold_count,mean,std,var,fold0,fold1,fold2,fold3,fold4
AIDS,TransformerConv,NodeCrossGNN,64,5,0.90600,0.02065,0.000426,0.89500,0.87750,0.90500,0.91250,0.94000
AIDS,TransformerConv,NodeResGNN,64,5,0.88850,0.02273,0.000516,0.89250,0.84750,0.89500,0.89000,0.91750
AIDS,TransformerConv,PlainGNN,64,5,0.86700,0.03458,0.001196,0.88000,0.80000,0.88000,0.87500,0.90000
Mutagenicity,GATConv,GraphCrossGNN,64,5,0.78950,0.01301,0.000169,0.76870,0.80277,0.79354,0.78085,0.80161
Mutagenicity,GATConv,GraphResGNN,64,5,0.71591,0.08372,0.007010,0.75949,0.72088,0.78547,0.76009,0.55363
Mutagenicity,GATConv,NodeCrossGNN,64,5,0.79733,0.02002,0.000401,0.79056,0.81430,0.81430,0.76125,0.80623
Mutagenicity,GATConv,NodeResGNN,64,5,0.78165,0.01307,0.000171,0.76985,0.79008,0.80046,0.76471,0.78316
Mutagenicity,GATConv,PlainGNN,64,5,0.67787,0.10470,0.010962,0.71692,0.79815,0.55363,0.76701,0.55363
Mutagenicity,GCNConv,APPNPBaseline,64,5,0.66082,0.01546,0.000239,0.66628,0.64821,0.63783,0.67243,0.67935
Mutagenicity,GCNConv,GraphCrossGNN,64,5,0.80287,0.01825,0.000333,0.77445,0.79469,0.82584,0.80046,0.81892
Mutagenicity,GCNConv,GraphResGNN,64,5,0.80218,0.02195,0.000482,0.76985,0.82468,0.81661,0.78201,0.81776
Mutagenicity,GCNConv,JKNetBaseline,64,5,0.78766,0.02180,0.000475,0.75144,0.80161,0.81546,0.77855,0.79123
Mutagenicity,GCNConv,NodeCrossGNN,64,5,0.80333,0.01589,0.000253,0.77560,0.80854,0.82468,0.80161,0.80623
Mutagenicity,GCNConv,NodeResGNN,64,5,0.78973,0.01386,0.000192,0.76640,0.79239,0.80854,0.78547,0.79585
Mutagenicity,GCNConv,PlainGNN,64,5,0.78142,0.02347,0.000551,0.76295,0.78431,0.81430,0.74856,0.79700
Mutagenicity,GINConv,GINBaseline,64,5,0.72616,0.08882,0.007888,0.55351,0.74856,0.79700,0.74394,0.78777
Mutagenicity,GINConv,GraphCrossGNN,64,5,0.79549,0.02015,0.000406,0.77100,0.79585,0.82930,0.77970,0.80161
Mutagenicity,GINConv,GraphResGNN,64,5,0.78604,0.02755,0.000759,0.76064,0.76701,0.80969,0.76471,0.82814
Mutagenicity,GINConv,NodeCrossGNN,64,5,0.79849,0.02277,0.000519,0.77330,0.81200,0.83160,0.77278,0.80277
Mutagenicity,GINConv,NodeResGNN,64,5,0.79987,0.02047,0.000419,0.77675,0.80854,0.83506,0.79354,0.78547
Mutagenicity,GINConv,PlainGNN,64,5,0.67864,0.10267,0.010541,0.55351,0.77393,0.55363,0.74279,0.76932
Mutagenicity,SAGEConv,GraphCrossGNN,64,5,0.79272,0.01558,0.000243,0.76985,0.80738,0.79700,0.77970,0.80969
Mutagenicity,SAGEConv,GraphResGNN,64,5,0.79320,0.02892,0.000836,0.74223,0.80738,0.81430,0.78085,0.82122
Mutagenicity,SAGEConv,GraphSAGEBaseline,64,5,0.79571,0.00673,0.000045,0.78941,0.79700,0.80161,0.78662,0.80392
Mutagenicity,SAGEConv,NodeCrossGNN,64,5,0.80909,0.01006,0.000101,0.79402,0.80277,0.82353,0.81430,0.81084
Mutagenicity,SAGEConv,NodeResGNN,64,5,0.79503,0.01484,0.000220,0.78021,0.78662,0.80738,0.78316,0.81776
Mutagenicity,SAGEConv,PlainGNN,64,5,0.79111,0.02229,0.000497,0.77100,0.80623,0.80854,0.75779,0.81200
Mutagenicity,TransformerConv,GraphCrossGNN,64,5,0.80541,0.01913,0.000366,0.78021,0.81200,0.82699,0.78547,0.82238
Mutagenicity,TransformerConv,GraphResGNN,64,5,0.79849,0.01930,0.000372,0.78366,0.81084,0.82814,0.77393,0.79585
Mutagenicity,TransformerConv,NodeCrossGNN,64,5,0.79988,0.02867,0.000822,0.75719,0.81546,0.83852,0.77855,0.80969
Mutagenicity,TransformerConv,NodeResGNN,64,5,0.78143,0.02367,0.000560,0.75834,0.76586,0.81084,0.76240,0.80969
Mutagenicity,TransformerConv,PlainGNN,64,5,0.69939,0.11171,0.012480,0.56387,0.79008,0.80046,0.78085,0.56171
